text,created_at,retweet_count,is_retweet
RT @realDonaldTrump: Thank you @Honeywell great job!,04-19-2020 02:46:48,14712,TRUE
RT @realDonaldTrump: Great news thank you!,04-19-2020 02:46:31,16147,TRUE
RT @realDonaldTrump: Our GREAT Senator from South Carolina @SenatorTimScott just released a fantastic new book “OPPORTUNITY KNOCKS: How H…,04-19-2020 00:35:16,14137,TRUE
Great new book out by @realKTMcFarland “Revolution: Trump Washington and We the People”. Get your copy today! https://t.co/KBkladnmPQ,04-19-2020 00:34:57,13318,FALSE
Will be online tomorrow morning at 10:30am (Eastern) watching @jackngraham from @Prestonwood Baptist in Dallas Texas. You can join us at https://t.co/Nx4ePPySmn. https://t.co/mheZBjYHrx,04-18-2020 23:41:26,11333,FALSE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/nurNOvlZjJ,04-18-2020 21:09:33,8529,TRUE
China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. back and much more. Joe is an easy mark their DREAM CANDIDATE! https://t.co/vmvCr4SkQq,04-18-2020 19:13:28,34112,FALSE
RT @BryanDeanWright: Biden has a problem if he runs on “Things Were Better Under Obama.”,04-18-2020 19:07:47,6704,TRUE
RT @paulsperry_: With all the grounded flights and ghosted airports great time for POTUS to rebuild crumbling airports like La Guardia and…,04-18-2020 19:05:32,7730,TRUE
RT @paulsperry_: Trump’s bold gamble on hydroxychloroquine (HC) appears to be paying off. Medical professionals in NY tell Judicial Watch t…,04-18-2020 19:04:22,12587,TRUE
I gave up on Drudge (a really nice guy) long ago as have many others. People are dropping off like flies! https://t.co/L77SXS2mE8,04-18-2020 19:03:09,16119,FALSE
RT @paulsperry_: BREAKING: New daily cases of COVID-19 in both U.S. and N.Y. have peaked and trend-line now rolling over,04-18-2020 18:58:10,5717,TRUE
RT @paulsperry_: Let's see if authorities enforce the social-distancing orders for mosques during Ramadan (April 23-May 23) like they did c…,04-18-2020 18:56:38,22110,TRUE
RT @paulsperry_: BREAKING: Adjusted for population U.S. COVID-19 deaths (fatalities per million) are lower than every Western European cou…,04-18-2020 18:56:26,14648,TRUE
RT @paulsperry_: ---&gt;,04-18-2020 18:54:22,4138,TRUE
The most often used phrase in the Lamestream Media by far is “sources say” or “officials who spoke on the condition of anonymity” or anything similar which allows Fake News to make up a phony quote from a person who doesn’t even exist. The American people should demand NAMES!,04-18-2020 18:22:18,41683,FALSE
....them happy or even a little bit satisfied. They were RUDE and NASTY. This is their political playbook and they will use it right up to the election on November 3rd. They will not change because they feel that this is the only way they can win. America will not be fooled!!!,04-18-2020 17:20:49,19880,FALSE
....Example! V.P. Mike Pence held a conference call yesterday with all Democrat Senators. He gave them everything that they would have wanted to hear in terms of gaining ground on the CoronaVirus but nothing that anyone could have said including “it’s over” could have made....,04-18-2020 17:20:28,15922,FALSE
No matter what you do for the Do Nothing Democrats no matter how GREAT a job you are doing they will only respond to their Fake partners in the Lamestream Media in the negative even in a time of crisis. I thought it would be different but it’s not. In fact it’s even worse...,04-18-2020 17:20:23,37402,FALSE
Great news thank you! https://t.co/hp4TCZQW9r,04-18-2020 17:05:13,16147,FALSE
Thank you @Honeywell great job! https://t.co/8MfzxtvDPK,04-18-2020 17:01:32,14712,FALSE
I will be having a White House Press Conference today at 5:00 P.M. Thank you!,04-18-2020 16:44:19,20565,FALSE
Really nice to see this and what a great pick! https://t.co/91104h0sd1,04-18-2020 16:37:54,14653,FALSE
John James will be a GREAT Senator for Michigan! https://t.co/yGiWzZ9nR0,04-18-2020 16:32:07,13980,FALSE
RT @SenRickScott: .@SenateDems blocked more funding for this program just last week and now it’s almost out of money. Small businesses need…,04-18-2020 16:25:25,6016,TRUE
RT @SenJohnBarrasso: The @SenSchumer &amp; @SpeakerPelosi paycheck blockade must end now. The #PaycheckProtectionProgram has ensured millions o…,04-18-2020 16:25:00,5770,TRUE
RT @marcorubio: In just 12 days #PPP has helped over 1 MILLION #SmallBusiness save 15 MILLION American jobs. But now it’s being held hostag…,04-18-2020 16:24:41,7082,TRUE
RT @marcorubio: Contrary to the air cover being provided to Democratic congressional leaders by many in the media #PPP is NOT tied up becau…,04-18-2020 16:23:52,6247,TRUE
RT @SenatorTimScott: The initial #PaycheckProtectionProgram funds have run out. 5.2 million more Americans filed for unemployment last week…,04-18-2020 16:23:31,6383,TRUE
RT @SenCapito: This situation could have been completely avoided. Small businesses in America are in desperate need. We should not be playi…,04-18-2020 16:23:18,4788,TRUE
RT @senatemajldr: Republicans tried to pass more money for Americans’ paychecks last week. Democrats blocked it. Speaker Pelosi said she sa…,04-18-2020 16:23:13,15844,TRUE
RT @JimInhofe: BREAKING – Funds have officially run out for the #PaycheckProtectionProgram. This program has helped so many in Oklahoma and…,04-18-2020 16:23:02,6358,TRUE
RT @WhiteHouse: Congress must IMMEDIATELY increase funding for the Paycheck Protection Program.A simple 1 page bill will get the job done…,04-18-2020 16:22:53,12537,TRUE
RT @GrassleyPress: The livelihood of many Americans are on the line during the #coronavirus pandemic.Last week @SenateDems blocked addit…,04-18-2020 16:22:42,4705,TRUE
RT @SenJohnThune: This never needed to happen.@SenateGOP was ready to approve more relief funds last week — Dems stepped in to block.*O…,04-18-2020 16:22:32,4542,TRUE
RT @SenatorBraun: I spent 40 years building a small business on Main Street and it's sad that Senate Democrats blocked additional aid for…,04-18-2020 16:22:12,5255,TRUE
RT @SenToddYoung: Speaker Nancy Pelosi’s refusal to provide additional funding for this bipartisan program is indefensible. I’ll continue f…,04-18-2020 16:22:01,3948,TRUE
RT @SteveDaines: The #PaycheckProtectionProgram is critical for MT small businesses and workers. It’s officially OUT of money. We must boos…,04-18-2020 16:21:52,3319,TRUE
RT @SenJoniErnst: #PaycheckProtectionProgram has allowed workers to collect paychecks &amp; #smallbiz owners pay bills: 22K+ loans &amp; $3.7B+ in…,04-18-2020 16:21:44,3391,TRUE
RT @SenatorLankford: Small businesses in Oklahoma received more than $4 billion dollars from the #PaycheckProtectionProgram to help them &amp;…,04-18-2020 16:21:35,3340,TRUE
RT @SenHydeSmith: Today @SBAgov announced officially that #PaycheckProtectionProgram is out of funds. Every Senate Republican was ready to…,04-18-2020 16:21:25,3438,TRUE
RT @SenatorFischer: Great #PaycheckProtectionProgram success story in NE! I’m glad Steve was able to use this program to get his employees…,04-18-2020 16:21:21,2885,TRUE
RT @SenBillCassidy: I’m receiving text messages phone calls &amp; emails from #smallbiz owners who wonder if more money will be put into the #…,04-18-2020 16:20:58,5994,TRUE
RT @SenJohnKennedy: Congress could pass clean #coronavirus relief bills . . . if Speaker Pelosi would agree to it. Right now though Dem…,04-18-2020 16:08:34,6500,TRUE
RT @SenJohnThune: By blocking relief for Main Street Democrats are behaving as they always do in circumstances like this one: hijacking th…,04-18-2020 16:08:11,5134,TRUE
RT @SenateGOP: ⚙️⛰️🇺🇸The #PaycheckProtectionProgram is WORKING in Colorado!↓↓↓↓ https://t.co/pbqD0BSXqe,04-18-2020 16:07:41,3534,TRUE
RT @senrobportman: The #PaycheckProtectionProgram has already issued 1M+ loans to small businesses saving millions of jobs nationwide. B…,04-18-2020 16:07:26,3727,TRUE
RT @SenateGOP: #PPP Update: April 17↓↓↓❌no new loans approved❌no new jobs savedThe Paycheck Protection Program is out of money.an…,04-18-2020 16:06:38,4624,TRUE
RT @SenJohnBarrasso: @SenSchumer .@SenSchumer and Congressional Democrats need to stop holding workers and small businesses hostage and sto…,04-18-2020 16:06:15,3896,TRUE
